Specific-Bean-Origin-or-Bar-Name,Broad-Bean-Origin,Cocoa-Percent,Bean-Type
Agua Grande,Sao Tome,63%, 
Kpime,Togo,70%, 
Atsane,Togo,70%, 
Akata,Togo,70%, 
Quilla,Peru,70%, 
Carenero,Venezuela,70%,Criollo
Cuba,Cuba,70%, 
Sur del Lago,Venezuela,70%,Criollo
Puerto Cabello,Venezuela,70%,Criollo
Pablino,Peru,70%, 
Panama,Panama,70%, 
Madagascar,Madagascar,70%,Criollo
Brazil,Brazil,70%, 
Equateur,Ecuador,70%, 
Colombie,Colombia,70%, 
Birmanie,Burma,70%, 
Papua New Guinea,Papua New Guinea,70%, 
Chuao,Venezuela,70%,Trinitario
Piura,Peru,70%, 
Chanchamayo Province,Peru,70%, 
Chanchamayo Province,Peru,63%, 
Bolivia,Bolivia,70%, 
Peru,Peru,63%, 
"Chulucanas, El Platanal",Peru,70%, 
"Tumbes, Norandino",Peru,70%,Criollo
Vanua Levu,Fiji,60%,Trinitario
"Vanua Levu, Toto-A",Fiji,80%,Trinitario
Vanua Levu,Fiji,88%,Trinitario
"Vanua Levu, Ami-Ami-CA",Fiji,72%,Trinitario
"Los Rios, Quevedo, Arriba",Ecuador,55%,Forastero (Arriba)
"Los Rios, Quevedo, Arriba",Ecuador,70%,Forastero (Arriba)
Tabasco,Mexico,70%,Criollo
"Bali (west), Sukrama Family, Melaya area",Indonesia,75%,Trinitario
"Madagascar, Ambolikapiky P.",Madagascar,75%,Criollo
"Monte Alegre, D. Badero",Brazil,75%,Forastero
Trinite,Trinidad,65%,Trinitario
Vietnam,Vietnam,75%,Trinitario
Madagascar,Madagascar,75%,Trinitario
Chuao,Venezuela,75%,Trinitario
"Piura, Perou",Peru,75%, 
"Winak Coop, Napo",Ecuador,70%,Forastero (Nacional)
"La Dalia, Matagalpa",Nicaragua,70%,"Criollo, Trinitario"
Tien Giang,Vietnam,70%,Trinitario
"Makwale Village, Kyela",Tanzania,70%,Forastero
Momotombo,Nicaragua,60%, 
Acopagro,Peru,60%, 
CIAAB Coop,Bolivia,60%, 
Villa Andina,Peru,60%, 
Gruppo Salinas,Ecuador,60%, 
Sur del Lago,Venezuela,60%, 
Conacado,Dominican Republic,60%,Trinitario
Bolivia,Bolivia,80%, 
Bolivia,Bolivia,60%, 
Peru,Peru,60%, 
Morobe,Papua New Guinea,70%, 
Dos Rios,Dominican Republic,70%, 
Guayas,Ecuador,70%, 
Chuao,Venezuela,70%,Trinitario
Montanya,Venezuela,70%, 
"Bali, Jembrana",Indonesia,70%, 
Madagascar,Madagascar,70%,Trinitario
Cuyagua,Venezuela,70%, 
Ocumare,Venezuela,70%,Criollo
Ghana,Ghana,70%,Forastero
Ecuador,Ecuador,70%, 
Ecuador,Ecuador,85%, 
Ghana,Ghana,85%,Forastero
"LamasdelChanka, San Martin, Oro Verde coop",Peru,72%, 
"Bellavista Gran Pajeten, San Martin",Peru,73%,Trinitario
Belize,Belize,64%,Trinitario
Madagascar,Madagascar,66%,Trinitario
Dominican Republic,Dominican Republic,75%, 
Papua New Guinea,Papua New Guinea,63%, 
Venezuela,Venezuela,70%, 
Peru,Peru,68%, 
"Piura, Blanco de Criollo",Peru,70%, 
Porcelana,Venezuela,70%,Criollo (Porcelana)
Nine, ,75%,Blend
Chuao,Venezuela,70%,Trinitario
Ecuador,Ecuador,70%,Trinitario
Jamaica,Jamaica,70%,Trinitario
Grenada,Grenada,70%,Trinitario
Venezuela,Venezuela,70%,Trinitario (85% Criollo)
Madagascar,Madagascar,70%,Trinitario (85% Criollo)
Trinidad,Trinidad,70%,Trinitario
Toscano Black, ,63%,Blend
Toscano Black, ,70%,Blend
Toscano Black, ,66%,Blend
Catongo,Brazil,75%,Forastero (Catongo)
"Monte Alegre, 3 diff. plantations",Brazil,85%,Forastero (Parazinho)
"Monte Alegre, 3 diff. plantations",Brazil,50%,Forastero (Parazinho)
"Monte Alegre, 3 diff. plantations",Brazil,75%,Forastero (Parazinho)
"Monte Alegre, 3 diff. plantations",Brazil,60%,Forastero (Parazinho)
Elvesia,Dominican Republic,75%, 
Alto Beni,Bolivia,75%, 
Madagascar,Madagascar,75%,Trinitario
Chiapas,Mexico,72%, 
Equateur,Ecuador,75%, 
Trincheras,Venezuela,75%, 
San Juan,Trinidad,70%,Trinitario
Kokoa Kamili,Tanzania,70%, 
Tien Giang,Vietnam,73%,Trinitario
Hacienda Victoria,Ecuador,70%, 
Costa Esmeraldas,Ecuador,70%, 
Lachua,Guatemala,70%, 
Rugoso,Nicaragua,70%, 
"La Masica, FHIA",Honduras,70%, 
"Coto Brus, Terciopelo",Costa Rica,70%, 
Phantom,Peru,70%,Forastero (Nacional)
Elvesia,Dominican Republic,70%, 
Matasawalevu,Fiji,70%, 
Lam Dong,Vietnam,73%, 
Fazenda Camboa,Brazil,70%, 
Nacional,Peru,68%,Forastero (Nacional)
"Puerto Quito, heirloom",Ecuador,70%,Forastero (Nacional)
Oko Caribe,Domincan Republic,70%, 
Maya Mountain,Belize,70%,Trinitario
Chuno,Nicaragua,70%,"Criollo, Trinitario"
Fazenda Camboa,Brazil,75%, 
Guatemala,Guatemala,70%, 
Camino Verde,Ecuador,75%, 
"Trinidad, Heritage, Limited ed.",Trinidad,72%,Trinitario
"Colombia, Casa Luker",Colombia,72%, 
Haiti,Haiti,72%, 
Panama,Panama,72%, 
Venezuela,Venezuela,100%, 
Jamaica,Jamaica,72%,Trinitario
Costa Rica,Costa Rica,72%, 
Ba Ria Vung Tau Province,Vietnam,72%,Trinitario
Bali,Indonesia,72%, 
"Ocumare, Venezuela",Venezuela,75%,"Criollo, Trinitario"
Java,Indonesia,72%,Trinitario
Brazil Rio Doce,Brazil,72%, 
Madagascar,Madagascar,80%,"Criollo, Trinitario"
Peru,Peru,75%,Criollo
Dominican Republic,Dominican Republic,72%,Trinitario
Congo,Congo,72%,Forastero
"Orinoqua Region, Arauca",Colombia,72%,Trinitario
Mababa,Tanzania,68%,Trinitario
"Tenende, Uwate",Tanzania,72%,Trinitario
Cortes,Honduras,70%,Trinitario
Davao,Philippines,77%,Trinitario
Xoconusco,Mexico,75%,Trinitario
San Jose del Tambo,Ecuador,70%,Forastero (Arriba)
Houseblend, ,80%, 
Papua New Guinea,Papua New Guinea,70%, 
Sambirano,Madagascar,70%,Trinitario
Bahia,Brazil,70%, 
Houseblend, ,70%,Blend
"Bambamarca, 2015",Peru,70%, 
"Huallabamba, 2015",Peru,70%, 
Bahia,Brazil,70%, 
Maranon Canyon,Peru,70%,Forastero (Nacional)
Duarte Province,Dominican Republic,70%, 
Chiapas,Mexico,70%, 
Sambirano,Madagascar,70%,Trinitario
single estate,Costa Rica,80%, 
"Dominican Republic, Batch 3",Domincan Republic,65%, 
Brazil,Brazil,70%, 
Ecuador,Ecuador,65%, 
"Asajaya E, NW Borneo, b. #132/4500",Malaysia,73%, 
"Serian E., NW Borneo, b. #134/3800",Malaysia,72%, 
"Brazil, Batch 20316",Brazil,80%, 
"Dominican Republic, Batch 31616",Domincan Republic,70%, 
"Ecuador, Batch 31516",Ecuador,70%, 
Ecuador,Ecuador,90%, 
Costa Rica,Costa Rica,64%, 
Papua New Guinea,Papua New Guinea,64%, 
Peru,Peru,64%, 
Ecuador,Ecuador,71%, 
"Kakao Kamili, Kilombero Valley",Tanzania,70%,"Criollo, Trinitario"
"Alto Beni, Palos Blanco",Bolivia,70%, 
"Oko Caribe, Duarte P.",Domincan Republic,70%, 
"Belize south, low fermentation",Belize,83%,Trinitario
Belize south,Belize,78%,Trinitario
Belize south,Belize,83%,Trinitario
Baracoa,Cuba,74%,Trinitario
Chuao,Venezuela,74%,Criollo
Cuyagua Village,Venezuela,74%,Criollo
Rio Peripa H.,Ecuador,73%,Trinitario
"Bali, Sukrama Bros. Farm, Melaya, 62hr C",Indonesia,72%,Trinitario
"Somia Plantation, Sambirano, 70hr C",Madagascar,72%,Trinitario
Nature, ,55%, 
Madagascar,Madagascar,64%,Trinitario
Maracaibo,Venezuela,88%,Criollo
"Indigena Amazonia, Grand Cru, Quizas",Venezuela,72%, 
Ecuador,Ecuador,72%, 
"Carenero S., Barlovento, Grand Cru",Venezuela,70%,Trinitario
"Porcelana, Premier Cru, Quizas No. 1",Venezuela,74%,Criollo (Porcelana)
"Java, Grand Cru",Indonesia,64%, 
"Ocumare, Premier Cru, Quizas No. 2",Venezuela,72%, 
"Nicaragua, American style",Nicaragua,76%, 
"San Andres, American style",Costa Rica,76%, 
"San Andres, silk",Costa Rica,78%, 
Belize,Belize,86%,Trinitario
Ghana,Ghana,72%,Forastero
"Bali, Singaraja",Indonesia,75%, 
2009 Hapa Nibby,"Dominican Rep., Bali",70%,Blend
"Bali, Singaraja",Indonesia,65%, 
"Sambirano, 2009",Madagascar,70%,Trinitario
"Ocumare, prototype",Venezuela,78%,Criollo
Puerto Plata,Dominican Republic,75%, 
Puerto Plata,Dominican Republic,65%, 
Sambirano,Madagascar,75%,Trinitario
Sambirano,Madagascar,65%,Trinitario
Sambirano,Madagascar,71%,Trinitario
Bocas del Toro,Panama,75%, 
Puerto Plata,Dominican Republic,68%, 
Ankasa,Ghana,70%,Forastero
La Red,Dominican Republic,70%, 
Carenero Superior,Venezuela,70%,Trinitario
Matiguas,Nicaragua,70%, 
Blue Mountain Region,Jamaica,70%,Trinitario
"Congo, Grand Cru",Congo,82%,Forastero
Organic Dark, ,72%, 
"Akesson's E., Sambirano V.",Madagascar,82%,Trinitario
Lachua,Guatemala,75%, 
Kokoa Kamili,Tanzania,75%, 
Zorzal Reserva,Dominican Republic,75%, 
Guatemala,Guatemala,70%, 
Madagascar,Madagascar,70%,Trinitario
Selva Maya,Mexico,75%, 
Kaori,Brazil,75%, 
"Los Colorados, Santo Domingo, Equateur",Dominican Republic,75%, 
Surfin,"Venez,Africa,Brasil,Peru,Mex",65%, 
Maragnam,Brazil,75%, 
Gabon,Gabon,75%, 
Cuba,Cuba,75%,Trinitario
"Cusco, Cacao Cusco",Peru,75%, 
Piura Blanco,Peru,75%,Forastero (Nacional)
Libanio,Brazil,75%, 
Haiti,Haiti,75%, 
"Madagascar, 100% criollo",Madagascar,75%,Criollo
Juliana,Brazil,75%, 
Jamaique,Jamaica,75%,Trinitario
Ivory Coast,Ivory Coast,75%, 
"Porcelana, Apotequil",Peru,75%,Criollo
"Porcelana, Tabasco, Marfil de Blanco",Mexico,75%,Criollo
"Xoconusco, cacao Real",Mexico,75%,Criollo
"Porcelana, Venezuela",Venezuela,75%,Criollo (Porcelana)
Equateur,Ecuador,75%,Forastero (Arriba)
Trinite,Carribean,75%,Trinitario
"Ocumare, Puerto Cabello",Venezuela,75%, 
"Maracaibo, El Rosario",Venezuela,75%,Criollo
Madagascar,Madagascar,75%,Trinitario
One Hundred, ,100%, 
Ceylan,Sri Lanka,75%, 
Chuao,Venezuela,75%,Trinitario
"El Oro, Hacienda de Oro",Ecuador,77%,Forastero (Arriba)
"El Oro, Hacienda de Oro",Ecuador,100%,Forastero (Arriba)
Maya Mountain,Belize,70%,Trinitario
Conacado,Dominican Republic,70%, 
"Guasare, Zulia Prov.",Venezuela,70%,Criollo
"O'payo, Waslala",Nicaragua,70%, 
Conacado,Dominican Republic,68%, 
Maya Mountain,Belize,70%,Trinitario
Chuao,Venezuela,70%,Trinitario
Cooproagro,Dominican Republic,72%,Trinitario
"Camino Verde, Guayas",Ecuador,70%, 
Ghana,Ghana,75%,Forastero
"Chuao, Mantuano blend",Venezuela,85%,Trinitario
Elvesia P.,Dominican Republic,60%, 
Elvesia P.,Dominican Republic,80%, 
"Alta Verapaz, 2014",Guatemala,70%, 
Ambolikapiky P.,Madagascar,80%, 
Maya Mountain,Belize,80%,Trinitario
Ambolikapkly P.,Madagascar,60%, 
Jamaica,Jamaica,70%,Trinitario
Somia Plantation,Madagascar,72%,Trinitario
Marabel Farms,Dominican Republic,70%, 
"Camino Verde, Balao, Guayas",Ecuador,72%, 
Gran Couva,Trinidad,68%,Trinitario
Ecuador,Ecuador,70%, 
Dominican Republic,Dominican Republic,68%, 
Trinidad,Trinidad,72%,Trinitario
Mindo,Ecuador,72%, 
Belize,Belize,72%,Trinitario
Blend, ,72%,Blend
"Ecuador, Bob Bar",Ecuador,60%, 
Puerto Rico,Puerto Rico,70%, 
Tumbes,Peru,75%,Criollo
"Dominican Republic, ""Love Bar""",Dominican Republic,75%, 
Dominican Republic w/ nibs,Dominican Republic,75%, 
Patanemo,Venezuela,75%, 
Grand 'Anse,Haiti,65%,"Trinitario, Criollo"
Santo Domingo,Dominican Republic,70%, 
Tanzania,Tanzania,75%, 
Venezuela,Venezuela,72%, 
Mexico,Mexico,66%, 
Chuao,Venezuela,77%,Trinitario
Rio Caribe,Venezuela,75%,Trinitario
Agua Fria; Sucre region,Venezuela,75%, 
Macuare; Miranda; Chloe formula,Venezuela,74%, 
"Chuao, Aragua region",Venezuela,75%,Trinitario
"Chuao, Aragua region",Venezuela,70%,Trinitario
Hacienda la Trinidad,Venezuela,74%, 
Macondo,Colombia,71%, 
Perla Negra,Colombia,74%, 
Arhuacos,Colombia,72%, 
Sierra Nevada,Colombia,64%, 
Tumaco,Colombia,70%, 
"Boyaca, Aprocampa Coop, Pauna",Colombia,69%, 
Arauca,Colombia,70%, 
"Jutiapa, lot 050916D",Honduras,70%,Trinitario
"Criollo, Dominican Republic",Dominican Republic,72%,Criollo
"Dominican Republicm, rustic",Dominican Republic,72%, 
Dominican Republic,Dominican Republic,66%, 
"Dominican Republic, rustic",Dominican Republic,65%, 
"Mahali, Kasai",Congo,70%,Criollo
Madagascar,Madagascar,71%,Trinitario
Ecuador,Ecuador,71%, 
Papua,Papua New Guinea,71%, 
Grenada,Grenada,71%,Trinitario
Venezuela,Venezuela,71%, 
Venezuela,Venezuela,77%, 
"Porcelana, Tabasco, La Joya",Mexico,70%,Criollo
"Xoconusco, Chiapas",Mexico,70%,Criollo
Madagascar,Madagascar,70%,Trinitario
Peru,Peru,70%, 
Vietnam,Vietnam,70%,Trinitario
Piura,Peru,70%, 
Amazonia,Ecuador,63%,Forastero (Arriba)
Esmeraldas,Ecuador,71%,Forastero (Arriba)
Bolivar,Ecuador,82%,Forastero (Arriba)
Pichincha,Ecuador,91%,Forastero (Arriba)
Grenade,Grenada,60%,Trinitario
Baking,Ecuador,70%, 
Cuba,Cuba,75%, 
Dominican Republic,Dominican Republic,72%, 
"Lago di Como, Blu", ,70%,Blend
Ecuador,Ecuador,100%, 
Venezuela,Venezuela,80%, 
Sao Tome,Sao Tome,78%,Forastero
Trinidad,Trinidad,70%,Trinitario
Porcelana,Venezuela,75%,Criollo
Tanzania,Tanzania,73%, 
"Porcelana, Batch 5163",Venezuela,70%,Criollo
Bolivia,Bolivia,75%, 
Brazil,Brazil,70%,Trinitario
Esmeraldas,Ecuador,77%,Forastero (Arriba)
Manabi,Ecuador,77%,Forastero (Arriba)
Los Rios,Ecuador,77%,Forastero (Arriba)
Manabi,Ecuador,55%,Forastero (Arriba)
Los Rios,Ecuador,55%,Forastero (Arriba)
Esmeraldas,Ecuador,55%,Forastero (Arriba)
"Saidor Estate, Madang P.",Papua New Guinea,70%,Trinitario
Kulili Estate,Papua New Guinea,70%, 
"Antigua, Special Reserve",Guatemala,72%, 
"Talamanca, Raul-Kekoldo community",Costa Rica,72%, 
Anselmo Paraiso Estate,Costa Rica,72%, 
Costa Rica,Costa Rica,72%,Forastero
Costa Rica,Costa Rica,80%,Forastero
Arauca,Colombia,65%,Trinitario
Tumaco,Colombia,65%,Trinitario
Cordoba,Colombia,65%,Trinitario
Huila,Colombia,65%,Trinitario
Cesar,Colombia,65%,CCN51
"Maya Mtn, Batch 454, Heirloom",Belize,72%,Trinitario
"the lost city, gracias a dias, batch 362",Honduras,72%,Trinitario
"Duarte, Batch 360",Domincan Republic,70%,"Criollo, Trinitario"
"Piaroa, Amazonas, Batch 350",Venezuela,72%, 
Sierra Nevada,Colombia,72%,"Criollo, Trinitario"
Arauca,Colombia,76%,"Criollo, Trinitario"
Elvesia P.,Dominican Republic,70%,Trinitario
Bolivia,Bolivia,70%,Trinitario
Conacado,Dominican Republic,73%,Trinitario
San Martin,Peru,70%,Criollo
"Guaniamo, Amazonas",Venezuela,70%, 
Nicaragua,Nicaragua,72%,Trinitario
Tumbes,Peru,70%,Criollo
Guaniamo,Venezuela,72%, 
Ecuador,Ecuador,70%, 
Peru,Peru,70%, 
Venezuela,Venezuela,70%, 
Bolivia,Bolivia,70%, 
Equateur,Ecuador,72%, 
Uganda,Uganda,70%,Forastero
Maya Mtn,Belize,70%, 
Arriba,Ecuador,55%,Forastero (Arriba)
Los Rios,Ecuador,75%,Forastero (Arriba)
la Amistad,Costa Rica,70%, 
Blend No. 1, ,70%, 
Ecuador,Ecuador,70%, 
Maya Mountain w/ nibs,Belize,75%,Trinitario
Maya Mountain,Belize,82%,Trinitario
"Mekong Delta, early 2014 Harvest",Vietnam,70%,Trinitario
"Tawau, Oct. 2015 Harvest",Malaysia,70%,Trinitario
Peru,Peru,65%,Criollo
Peru + nibs,Peru,65%,Criollo
Dominican Republic,Dominican Republic,80%, 
Madagascar,Madagascar,70%,Trinitario
Venezuela,Venezuela,68%, 
"Tumbes, ""Zarumilla""",Peru,90%, 
"Philly Blend, 5 plantations", ,80%, 
Wild Bolivian,Bolivia,70%, 
Uganda,Uganda,70%, 
Dominican Republic,Dominican Republic,60%, 
Dominican Republic,Dominican Republic,75%, 
Ocumare,Venezuela,80%,Criollo (Ocumare)
Ecuador,Ecuador,70%, 
Nicaragua,Nicaragua,80%, 
Peru,Peru,74%, 
Tres Hombres,Dominican Republic,75%,Trinitario
"Congo, Gorilla bar",Congo,68%,Forastero
"Peru, Awagum bar",Peru,80%,Criollo
Maranon,Peru,69%,Forastero (Nacional)
Carenero Superior,Venezuela,80%,Trinitario
Peru,Peru,70%,Forastero (Nacional)
Ecuador,Ecuador,82%,Forastero (Arriba)
Peru,Peru,68%,Criollo
Madagascar,Madagascar,72%,Criollo
Xoconusco,Mexico,70%,Criollo
Patanemo,Venezuela,77%,Criollo
"Chiapas, Lacandon Jungle, Oaxacom Mtn",Mexico,65%, 
Xoconusco,Mexico,71%,Criollo
Sambirano,Madagascar,71%,Trinitario
Kendari, ,60%, 
Tarakan, ,75%, 
Ocumare,Venezuela,71%,Criollo
"Bolivar, Guaranda",Ecuador,71%,Forastero (Arriba)
Guyave,Grenada,71%,Trinitario
Maragda, ,70%,Blend
Tabasco,Mexico,65%,Trinitario
Tabasco,Mexico,75%,Trinitario
Ocumare,Venezuela,80%,Criollo
"Porcelana, Tabasco",Mexico,70%,Criollo
Brazilian,Brazil,70%, 
Brazilian,Brazil,80%, 
Ocumare,Venezuela,70%,Criollo
Guadeloupe,Martinique,42%, 
"Chiapas, Lacandon Jungle, Oaxacom Mtn",Mexico,75%, 
"Maranon Canyon, Fortunato No. 4",Peru,68%,Forastero (Nacional)
Choroni,Venezuela,61%,Criollo
Chuao,Venezuela,77%,Trinitario
Terreiro Velho P.,Sao Tome & Principe,73.50%,Forastero
Terreiro Velho P. w/ sugar crystals,Sao Tome & Principe,80%,Forastero
Terreiro Velho P.,Sao Tome & Principe,75%,Forastero
Principe,Sao Tome & Principe,100%,Forastero
"Camino Verde P., Balao, Guayas, 2014",Ecuador,73%, 
Sambirano,Madagascar,75%,Trinitario
Sur del Lago,Venezuela,70%, 
Carenero Superior,Venezuela,80%,Trinitario
Moxos,Bolivia,72%, 
Ocumare,Venezuela,70%,Criollo
Esmeraldas,Ecuador,88%,Forastero (Nacional)
Camino Verde,Ecuador,76%, 
"Tien Giang, 2015, batch 10-2-16",Vietnam,78%,Trinitario
"Ecuador, Puristique",Ecuador,65%,Forastero (Nacional)
Ghana Puristique,Ghana,85%,Forastero
Ecuador Puristique,Ecuador,100%, 
Uba Budo,Sao Tome & Principe,72%,Forastero
Madagascar,Madagascar,70%,Trinitario
Grenada,Grenada,72%,Trinitario
Chuao,Venezuela,70%,Trinitario
"Los Rios, H. Iara",Ecuador,72%,Nacional
Trinidad,Trinidad,72%,Trinitario
Jamaica,Jamaica,72%,Trinitario
Ocumare 61,Venezuela,72%,Criollo (Ocumare 61)
"Porcelana, Apotequil",Peru,72%,Criollo
"Porcelana, Apotequil",Peru,62%,Criollo
Chuao 100hr,Venezuela,70%,"Criollo, Trinitario"
Chuao 70hr,Venezuela,70%,"Criollo, Trinitario"
"Porcelana, Tabasco, Mexico",Mexico,72%,Criollo
"Porcelana, Venezuela",Venezuela,72%,Criollo (Porcelana)
"Sambirano, Menava P.",Madagascar,72%,Trinitario
Sensations Intense, ,70%, 
New Ireland,Papua New Guinea,70%,Forastero
"Vanuatu, batch 2410",Vanuatu,83%,Trinitario
"Tanzania, batch a1",Tanzania,75%,Forastero
"Bahia, batch a1213",Brazil,65%,Trinitario
